Non-Penalty Goals,0.16,9
Non-Penalty xG,0.11,1
Shots Total,1.74,6
Assists,0.32,95
xAG,0.13,56
npxG + xAG,0.25,3
Shot-Creating Actions,2.37,44
Passes Attempted,33.16,94
Pass Completion %,76.7,85
Progressive Passes,2.05,69
Progressive Carries,2.37,81
Successful Take-Ons,0.95,65
Touches (Att Pen),2.84,2
Progressive Passes Rec,4.74,17
Tackles,2.21,99
Interceptions,1.26,99
Blocks,1.58,99
Clearances,2.05,99
Aerials won,0.47,8
Goals,0.16,7
Assists,0.32,95
Goals + Assists,0.47,40
Non-Penalty Goals,0.16,9
Penalty Kicks Made,0.00,22
Penalty Kicks Attempted,0.00,17
Yellow Cards,0.16,49
Red Cards,0.00,56
xG,0.11,1
Non-Penalty xG,0.11,1
xAG,0.13,56
npxG + xAG,0.25,3
Progressive Carries,2.37,81
Progressive Passes,2.05,69
Progressive Passes Rec,4.74,17
Goals,0.16,7
Shots Total,1.74,6
Shots on target,0.95,35
Shots on target %,54.5,98
Goals/Shot,0.09,19
Goals/Shot on target,0.17,10
Average Shot Distance,22.00,1
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,22
Penalty Kicks Attempted,0.00,17
xG,0.11,1
Non-Penalty xG,0.11,1
npxG/Sh,0.07,1
Goals - xG,0.05,66
Non-Penalty Goals - npxG,0.05,65
Passes Completed,25.42,90
Passes Attempted,33.16,94
Pass Completion %,76.7,85
Total Passing Distance,342.47,89
Progressive Passing Distance,54.47,73
Passes Completed (Short),15.63,93
Passes Attempted (Short),18.00,93
Pass Completion % (Short),86.8,95
Passes Completed (Medium),7.89,91
Passes Attempted (Medium),9.47,90
Pass Completion % (Medium),83.3,93
Passes Completed (Long),0.63,41
Passes Attempted (Long),1.89,75
Pass Completion % (Long),33.3,4
Assists,0.32,95
xAG,0.13,56
Expected Assists,0.06,31
Key Passes,1.11,56
Passes into Final Third,1.11,59
Passes into Penalty Area,0.47,35
Crosses into Penalty Area,0.00,13
Progressive Passes,2.05,69
Passes Attempted,33.16,94
Live-ball passes,32.53,94
Dead-ball passes,0.63,23
Passes from Free Kicks,0.00,24
Through Balls,0.00,6
Switches,0.16,65
Crosses,1.26,86
Throw-Ins taken,0.00,11
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,45
Straight Corner Kicks,0.00,49
Passes Completed,25.42,90
Passes Offside,0.00,94
Passes Blocked,1.26,6
Shot-Creating Actions,2.37,44
SCA (PassLive),1.89,64
SCA (PassDead),0.00,35
SCA (TO),0.32,78
SCA (Sh),0.16,17
SCA (Fld),0.00,2
SCA (Def),0.00,23
Goal-Creating Actions,0.63,94
GCA (PassLive),0.47,95
GCA (PassDead),0.00,48
GCA (TO),0.16,98
GCA (Sh),0.00,18
GCA (Fld),0.00,26
GCA (Def),0.00,46
Tackles,2.21,99
Tackles Won,1.11,99
Tackles (Def 3rd),0.47,98
Tackles (Mid 3rd),1.26,99
Tackles (Att 3rd),0.47,95
Dribblers Tackled,0.63,98
Dribbles Challenged,1.58,99
% of dribblers tackled,40.0,62
Challenges Lost,0.95,4
Blocks,1.58,99
Shots Blocked,0.32,99
Passes Blocked,1.26,99
Interceptions,1.26,99
Tkl+Int,3.47,99
Clearances,2.05,99
Errors,0.00,55
Touches,49.11,96
Touches (Def Pen),1.74,94
Touches (Def 3rd),8.21,99
Touches (Mid 3rd),22.58,98
Touches (Att 3rd),19.58,74
Touches (Att Pen),2.84,2
Touches (Live-Ball),49.11,96
Take-Ons Attempted,1.89,52
Successful Take-Ons,0.95,65
Successful Take-On %,50.0,77
Times Tackled During Take-On,0.95,56
Tackled During Take-On Percentage,50.0,52
Carries,27.16,85
Total Carrying Distance,156.63,91
Progressive Carrying Distance,83.05,95
Progressive Carries,2.37,81
Carries into Final Third,1.42,81
Carries into Penalty Area,0.47,27
Miscontrols,3.32,25
Dispossessed,1.42,51
Passes Received,30.79,84
Progressive Passes Rec,4.74,17
Yellow Cards,0.16,49
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.26,50
Fouls Drawn,1.11,36
Offsides,0.32,90
Crosses,1.26,86
Interceptions,1.26,99
Tackles Won,1.11,99
Penalty Kicks Won,0.00,26
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,5.53,99
Aerials won,0.47,8
Aerials lost,1.89,67
% of Aerials Won,20.0,5