Non-Penalty Goals,0.03,46
Non-Penalty xG,0.04,43
Shots Total,0.48,51
Assists,0.03,71
xAG,0.02,57
npxG + xAG,0.06,43
Shot-Creating Actions,1.17,91
Passes Attempted,61.15,73
Pass Completion %,80.7,22
Progressive Passes,5.22,91
Progressive Carries,1.34,93
Successful Take-Ons,0.24,66
Touches (Att Pen),0.82,51
Progressive Passes Rec,1.34,94
Tackles,2.40,93
Interceptions,1.13,39
Blocks,1.48,81
Clearances,2.75,16
Aerials won,1.51,19
Non-Penalty Goals,0.03,48
Non-Penalty xG,0.04,52
Shots Total,0.48,34
Assists,0.03,23
xAG,0.02,1
npxG + xAG,0.06,10
Shot-Creating Actions,1.17,6
Passes Attempted,61.15,80
Pass Completion %,80.7,72
Progressive Passes,5.22,82
Progressive Carries,1.34,16
Successful Take-Ons,0.24,8
Touches (Att Pen),0.82,24
Progressive Passes Rec,1.34,2
Tackles,2.40,75
Interceptions,1.13,61
Blocks,1.48,87
Clearances,2.75,90
Aerials won,1.51,85
Goals,0.03,46
Assists,0.03,71
Goals + Assists,0.07,63
Non-Penalty Goals,0.03,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.14,75
Red Cards,0.00,63
xG,0.04,42
Non-Penalty xG,0.04,43
xAG,0.02,57
npxG + xAG,0.06,43
Progressive Carries,1.34,93
Progressive Passes,5.22,91
Progressive Passes Rec,1.34,94
Goals,0.03,46
Shots Total,0.48,51
Shots on target,0.10,43
Shots on target %,21.4,39
Goals/Shot,0.07,52
Goals/Shot on target,0.33,54
Average Shot Distance,15.20,22
Shots from free kicks,0.00,47
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
xG,0.04,42
Non-Penalty xG,0.04,43
npxG/Sh,0.09,48
Goals - xG,-0.01,55
Non-Penalty Goals - npxG,-0.01,55
Passes Completed,49.36,64
Passes Attempted,61.15,73
Pass Completion %,80.7,22
Total Passing Distance,886.29,52
Progressive Passing Distance,313.76,48
Passes Completed (Short),18.79,71
Passes Attempted (Short),21.16,75
Pass Completion % (Short),88.8,35
Passes Completed (Medium),26.24,63
Passes Attempted (Medium),30.57,73
Pass Completion % (Medium),85.8,11
Passes Completed (Long),3.57,17
Passes Attempted (Long),7.04,28
Pass Completion % (Long),50.7,14
Assists,0.03,71
xAG,0.02,57
Expected Assists,0.03,72
Key Passes,0.38,86
Passes into Final Third,6.18,96
Passes into Penalty Area,0.48,92
Crosses into Penalty Area,0.17,96
Progressive Passes,5.22,91
Passes Attempted,61.15,73
Live-ball passes,52.49,54
Dead-ball passes,8.38,99
Passes from Free Kicks,1.24,28
Through Balls,0.03,57
Switches,0.14,11
Crosses,0.79,95
Throw-Ins taken,7.15,99
Corner Kicks,0.00,48
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,49.36,64
Passes Offside,0.27,9
Passes Blocked,0.93,2
Shot-Creating Actions,1.17,91
SCA (PassLive),0.96,90
SCA (PassDead),0.10,93
SCA (TO),0.00,38
SCA (Sh),0.03,38
SCA (Fld),0.03,78
SCA (Def),0.03,71
Goal-Creating Actions,0.07,59
GCA (PassLive),0.07,70
GCA (PassDead),0.00,48
GCA (TO),0.00,49
GCA (Sh),0.00,41
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.40,93
Tackles Won,1.27,85
Tackles (Def 3rd),1.68,95
Tackles (Mid 3rd),0.55,67
Tackles (Att 3rd),0.17,94
Dribblers Tackled,1.20,91
Dribbles Challenged,1.89,91
% of dribblers tackled,63.6,45
Challenges Lost,0.69,13
Blocks,1.48,81
Shots Blocked,0.55,31
Passes Blocked,0.93,95
Interceptions,1.13,39
Tkl+Int,3.54,79
Clearances,2.75,16
Errors,0.00,82
Touches,71.73,73
Touches (Def Pen),5.26,9
Touches (Def 3rd),26.18,11
Touches (Mid 3rd),36.24,78
Touches (Att 3rd),9.72,98
Touches (Att Pen),0.82,51
Touches (Live-Ball),71.73,73
Take-Ons Attempted,0.69,88
Successful Take-Ons,0.24,66
Successful Take-On %,35.0,15
Times Tackled During Take-On,0.34,94
Tackled During Take-On Percentage,50.0,22
Carries,37.65,50
Total Carrying Distance,175.64,40
Progressive Carrying Distance,88.18,39
Progressive Carries,1.34,93
Carries into Final Third,1.00,87
Carries into Penalty Area,0.07,84
Miscontrols,0.62,22
Dispossessed,0.38,10
Passes Received,42.05,57
Progressive Passes Rec,1.34,94
Yellow Cards,0.14,75
Red Cards,0.00,63
Second Yellow Card,0.00,56
Fouls Committed,1.27,19
Fouls Drawn,1.41,97
Offsides,0.00,76
Crosses,0.79,95
Interceptions,1.13,39
Tackles Won,1.27,85
Penalty Kicks Won,0.00,46
Penalty Kicks Conceded,0.03,36
Own Goals,0.00,61
Ball Recoveries,5.36,42
Aerials won,1.51,19
Aerials lost,0.89,86
% of Aerials Won,62.9,57
Goals,0.03,48
Assists,0.03,23
Goals + Assists,0.07,32
Non-Penalty Goals,0.03,48
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.14,69
Red Cards,0.00,60
xG,0.04,51
Non-Penalty xG,0.04,52
xAG,0.02,1
npxG + xAG,0.06,10
Progressive Carries,1.34,16
Progressive Passes,5.22,82
Progressive Passes Rec,1.34,2
Goals,0.03,48
Shots Total,0.48,34
Shots on target,0.10,30
Shots on target %,21.4,32
Goals/Shot,0.07,61
Goals/Shot on target,0.33,73
Average Shot Distance,15.20,85
Shots from free kicks,0.00,39
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.04,51
Non-Penalty xG,0.04,52
npxG/Sh,0.09,81
Goals - xG,-0.01,51
Non-Penalty Goals - npxG,-0.01,50
Passes Completed,49.36,81
Passes Attempted,61.15,80
Pass Completion %,80.7,72
Total Passing Distance,886.29,87
Progressive Passing Distance,313.76,88
Passes Completed (Short),18.79,36
Passes Attempted (Short),21.16,35
Pass Completion % (Short),88.8,51
Passes Completed (Medium),26.24,97
Passes Attempted (Medium),30.57,96
Pass Completion % (Medium),85.8,83
Passes Completed (Long),3.57,66
Passes Attempted (Long),7.04,63
Pass Completion % (Long),50.7,56
Assists,0.03,23
xAG,0.02,1
Expected Assists,0.03,4
Key Passes,0.38,5
Passes into Final Third,6.18,97
Passes into Penalty Area,0.48,7
Crosses into Penalty Area,0.17,9
Progressive Passes,5.22,82
Passes Attempted,61.15,80
Live-ball passes,52.49,84
Dead-ball passes,8.38,24
Passes from Free Kicks,1.24,71
Through Balls,0.03,41
Switches,0.14,29
Crosses,0.79,4
Throw-Ins taken,7.15,21
Corner Kicks,0.00,24
Inswinging Corner Kicks,0.00,33
Outswinging Corner Kicks,0.00,32
Straight Corner Kicks,0.00,48
Passes Completed,49.36,81
Passes Offside,0.27,23
Passes Blocked,0.93,83
Shot-Creating Actions,1.17,6
SCA (PassLive),0.96,8
SCA (PassDead),0.10,37
SCA (TO),0.00,13
SCA (Sh),0.03,34
SCA (Fld),0.03,25
SCA (Def),0.03,58
Goal-Creating Actions,0.07,16
GCA (PassLive),0.07,27
GCA (PassDead),0.00,33
GCA (TO),0.00,40
GCA (Sh),0.00,40
GCA (Fld),0.00,39
GCA (Def),0.00,47
Tackles,2.40,75
Tackles Won,1.27,60
Tackles (Def 3rd),1.68,87
Tackles (Mid 3rd),0.55,41
Tackles (Att 3rd),0.17,38
Dribblers Tackled,1.20,70
Dribbles Challenged,1.89,56
% of dribblers tackled,63.6,67
Challenges Lost,0.69,56
Blocks,1.48,87
Shots Blocked,0.55,95
Passes Blocked,0.93,62
Interceptions,1.13,61
Tkl+Int,3.54,74
Clearances,2.75,90
Errors,0.00,71
Touches,71.73,80
Touches (Def Pen),5.26,98
Touches (Def 3rd),26.18,99
Touches (Mid 3rd),36.24,89
Touches (Att 3rd),9.72,3
Touches (Att Pen),0.82,24
Touches (Live-Ball),71.73,80
Take-Ons Attempted,0.69,7
Successful Take-Ons,0.24,8
Successful Take-On %,35.0,18
Times Tackled During Take-On,0.34,17
Tackled During Take-On Percentage,50.0,40
Carries,37.65,67
Total Carrying Distance,175.64,45
Progressive Carrying Distance,88.18,41
Progressive Carries,1.34,16
Carries into Final Third,1.00,17
Carries into Penalty Area,0.07,11
Miscontrols,0.62,95
Dispossessed,0.38,76
Passes Received,42.05,71
Progressive Passes Rec,1.34,2
Yellow Cards,0.14,69
Red Cards,0.00,60
Second Yellow Card,0.00,54
Fouls Committed,1.27,27
Fouls Drawn,1.41,76
Offsides,0.00,89
Crosses,0.79,4
Interceptions,1.13,61
Tackles Won,1.27,60
Penalty Kicks Won,0.00,44
Penalty Kicks Conceded,0.03,24
Own Goals,0.00,55
Ball Recoveries,5.36,40
Aerials won,1.51,85
Aerials lost,0.89,49
% of Aerials Won,62.9,89