Non-Penalty Goals,0.17,26
Non-Penalty xG,0.19,39
Shots Total,1.90,30
Assists,0.17,36
xAG,0.20,48
npxG + xAG,0.39,44
Shot-Creating Actions,3.96,55
Passes Attempted,40.78,58
Pass Completion %,71.9,25
Progressive Passes,4.36,62
Progressive Carries,3.39,60
Successful Take-Ons,1.36,45
Touches (Att Pen),3.82,42
Progressive Passes Rec,10.38,84
Tackles,1.53,71
Interceptions,0.83,87
Blocks,1.20,82
Clearances,0.90,91
Aerials won,0.96,84
Non-Penalty Goals,0.17,96
Non-Penalty xG,0.19,99
Shots Total,1.90,99
Assists,0.17,81
xAG,0.20,89
npxG + xAG,0.39,97
Shot-Creating Actions,3.96,97
Passes Attempted,40.78,9
Pass Completion %,71.9,18
Progressive Passes,4.36,67
Progressive Carries,3.39,89
Successful Take-Ons,1.36,92
Touches (Att Pen),3.82,99
Progressive Passes Rec,10.38,99
Tackles,1.53,22
Interceptions,0.83,28
Blocks,1.20,61
Clearances,0.90,4
Aerials won,0.96,53
Goals,0.17,20
Assists,0.17,36
Goals + Assists,0.33,19
Non-Penalty Goals,0.17,26
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
Yellow Cards,0.07,77
Red Cards,0.00,56
xG,0.19,32
Non-Penalty xG,0.19,39
xAG,0.20,48
npxG + xAG,0.39,44
Progressive Carries,3.39,60
Progressive Passes,4.36,62
Progressive Passes Rec,10.38,84
Goals,0.17,20
Shots Total,1.90,30
Shots on target,0.73,37
Shots on target %,38.6,65
Goals/Shot,0.09,39
Goals/Shot on target,0.23,28
Average Shot Distance,16.40,72
Shots from free kicks,0.03,43
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
xG,0.19,32
Non-Penalty xG,0.19,39
npxG/Sh,0.10,48
Goals - xG,-0.02,31
Non-Penalty Goals - npxG,-0.02,32
Passes Completed,29.33,48
Passes Attempted,40.78,58
Pass Completion %,71.9,25
Total Passing Distance,528.29,66
Progressive Passing Distance,127.32,58
Passes Completed (Short),13.64,25
Passes Attempted (Short),16.26,25
Pass Completion % (Short),83.8,28
Passes Completed (Medium),11.27,72
Passes Attempted (Medium),15.07,79
Pass Completion % (Medium),74.8,26
Passes Completed (Long),3.63,80
Passes Attempted (Long),6.52,78
Pass Completion % (Long),55.6,58
Assists,0.17,36
xAG,0.20,48
Expected Assists,0.18,48
Key Passes,1.70,46
Passes into Final Third,1.86,44
Passes into Penalty Area,1.83,77
Crosses into Penalty Area,0.47,88
Progressive Passes,4.36,62
Passes Attempted,40.78,58
Live-ball passes,36.55,57
Dead-ball passes,4.19,75
Passes from Free Kicks,0.47,51
Through Balls,0.10,19
Switches,0.93,94
Crosses,4.72,79
Throw-Ins taken,1.80,99
Corner Kicks,1.83,66
Inswinging Corner Kicks,0.83,71
Outswinging Corner Kicks,0.70,78
Straight Corner Kicks,0.00,39
Passes Completed,29.33,48
Passes Offside,0.03,94
Passes Blocked,1.06,57
Shot-Creating Actions,3.96,55
SCA (PassLive),2.53,38
SCA (PassDead),0.43,63
SCA (TO),0.47,82
SCA (Sh),0.23,41
SCA (Fld),0.20,59
SCA (Def),0.10,88
Goal-Creating Actions,0.27,14
GCA (PassLive),0.23,31
GCA (PassDead),0.00,28
GCA (TO),0.00,22
GCA (Sh),0.03,46
GCA (Fld),0.00,22
GCA (Def),0.00,43
Tackles,1.53,71
Tackles Won,0.93,74
Tackles (Def 3rd),0.50,66
Tackles (Mid 3rd),0.43,37
Tackles (Att 3rd),0.60,94
Dribblers Tackled,0.23,11
Dribbles Challenged,0.93,29
% of dribblers tackled,25.0,8
Challenges Lost,0.70,57
Blocks,1.20,82
Shots Blocked,0.20,98
Passes Blocked,1.00,69
Interceptions,0.83,87
Tkl+Int,2.36,78
Clearances,0.90,91
Errors,0.00,59
Touches,51.59,53
Touches (Def Pen),1.73,98
Touches (Def 3rd),6.45,72
Touches (Mid 3rd),16.80,23
Touches (Att 3rd),28.80,75
Touches (Att Pen),3.82,42
Touches (Live-Ball),51.59,54
Take-Ons Attempted,2.93,38
Successful Take-Ons,1.36,45
Successful Take-On %,46.6,63
Times Tackled During Take-On,1.10,22
Tackled During Take-On Percentage,37.5,88
Carries,31.20,39
Total Carrying Distance,205.94,51
Progressive Carrying Distance,93.03,50
Progressive Carries,3.39,60
Carries into Final Third,1.80,30
Carries into Penalty Area,1.36,61
Miscontrols,1.60,90
Dispossessed,1.33,67
Passes Received,34.86,32
Progressive Passes Rec,10.38,84
Yellow Cards,0.07,77
Red Cards,0.00,56
Second Yellow Card,0.00,54
Fouls Committed,1.56,8
Fouls Drawn,1.36,42
Offsides,0.53,12
Crosses,4.72,79
Interceptions,0.83,87
Tackles Won,0.93,74
Penalty Kicks Won,0.00,27
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,4.02,31
Aerials won,0.96,84
Aerials lost,1.73,15
% of Aerials Won,35.8,63
Goals,0.17,95
Assists,0.17,81
Goals + Assists,0.33,93
Non-Penalty Goals,0.17,96
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.07,87
Red Cards,0.00,60
xG,0.19,99
Non-Penalty xG,0.19,99
xAG,0.20,89
npxG + xAG,0.39,97
Progressive Carries,3.39,89
Progressive Passes,4.36,67
Progressive Passes Rec,10.38,99
Goals,0.17,95
Shots Total,1.90,99
Shots on target,0.73,99
Shots on target %,38.6,81
Goals/Shot,0.09,71
Goals/Shot on target,0.23,57
Average Shot Distance,16.40,75
Shots from free kicks,0.03,79
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.19,99
Non-Penalty xG,0.19,99
npxG/Sh,0.10,87
Goals - xG,-0.02,27
Non-Penalty Goals - npxG,-0.02,26
Passes Completed,29.33,9
Passes Attempted,40.78,9
Pass Completion %,71.9,18
Total Passing Distance,528.29,15
Progressive Passing Distance,127.32,1
Passes Completed (Short),13.64,7
Passes Attempted (Short),16.26,8
Pass Completion % (Short),83.8,10
Passes Completed (Medium),11.27,9
Passes Attempted (Medium),15.07,10
Pass Completion % (Medium),74.8,21
Passes Completed (Long),3.63,67
Passes Attempted (Long),6.52,53
Pass Completion % (Long),55.6,74
Assists,0.17,81
xAG,0.20,89
Expected Assists,0.18,85
Key Passes,1.70,89
Passes into Final Third,1.86,10
Passes into Penalty Area,1.83,92
Crosses into Penalty Area,0.47,53
Progressive Passes,4.36,67
Passes Attempted,40.78,9
Live-ball passes,36.55,23
Dead-ball passes,4.19,1
Passes from Free Kicks,0.47,17
Through Balls,0.10,78
Switches,0.93,96
Crosses,4.72,82
Throw-Ins taken,1.80,1
Corner Kicks,1.83,89
Inswinging Corner Kicks,0.83,93
Outswinging Corner Kicks,0.70,88
Straight Corner Kicks,0.00,48
Passes Completed,29.33,9
Passes Offside,0.03,97
Passes Blocked,1.06,70
Shot-Creating Actions,3.96,97
SCA (PassLive),2.53,93
SCA (PassDead),0.43,83
SCA (TO),0.47,99
SCA (Sh),0.23,95
SCA (Fld),0.20,92
SCA (Def),0.10,95
Goal-Creating Actions,0.27,67
GCA (PassLive),0.23,74
GCA (PassDead),0.00,33
GCA (TO),0.00,40
GCA (Sh),0.03,86
GCA (Fld),0.00,39
GCA (Def),0.00,47
Tackles,1.53,22
Tackles Won,0.93,22
Tackles (Def 3rd),0.50,5
Tackles (Mid 3rd),0.43,16
Tackles (Att 3rd),0.60,99
Dribblers Tackled,0.23,1
Dribbles Challenged,0.93,4
% of dribblers tackled,25.0,1
Challenges Lost,0.70,54
Blocks,1.20,61
Shots Blocked,0.20,33
Passes Blocked,1.00,71
Interceptions,0.83,28
Tkl+Int,2.36,20
Clearances,0.90,4
Errors,0.00,71
Touches,51.59,9
Touches (Def Pen),1.73,3
Touches (Def 3rd),6.45,1
Touches (Mid 3rd),16.80,1
Touches (Att 3rd),28.80,96
Touches (Att Pen),3.82,99
Touches (Live-Ball),51.59,9
Take-Ons Attempted,2.93,90
Successful Take-Ons,1.36,92
Successful Take-On %,46.6,61
Times Tackled During Take-On,1.10,78
Tackled During Take-On Percentage,37.5,81
Carries,31.20,37
Total Carrying Distance,205.94,64
Progressive Carrying Distance,93.03,48
Progressive Carries,3.39,89
Carries into Final Third,1.80,65
Carries into Penalty Area,1.36,99
Miscontrols,1.60,16
Dispossessed,1.33,4
Passes Received,34.86,38
Progressive Passes Rec,10.38,99
Yellow Cards,0.07,87
Red Cards,0.00,60
Second Yellow Card,0.00,54
Fouls Committed,1.56,8
Fouls Drawn,1.36,73
Offsides,0.53,1
Crosses,4.72,82
Interceptions,0.83,28
Tackles Won,0.93,22
Penalty Kicks Won,0.00,44
Penalty Kicks Conceded,0.00,66
Own Goals,0.00,55
Ball Recoveries,4.02,3
Aerials won,0.96,53
Aerials lost,1.73,4
% of Aerials Won,35.8,17