Non-Penalty Goals,0.04,42
Non-Penalty xG,0.14,87
Shots Total,1.04,57
Assists,0.13,76
xAG,0.13,79
npxG + xAG,0.27,86
Shot-Creating Actions,3.08,78
Passes Attempted,57.77,79
Pass Completion %,88.2,92
Progressive Passes,5.82,70
Progressive Carries,1.39,63
Successful Take-Ons,1.00,79
Touches (Att Pen),2.04,87
Progressive Passes Rec,4.34,90
Tackles,1.13,6
Interceptions,0.74,16
Blocks,0.83,19
Clearances,0.74,24
Aerials won,0.52,21
Non-Penalty Goals,0.04,3
Non-Penalty xG,0.14,21
Shots Total,1.04,5
Assists,0.13,33
xAG,0.13,19
npxG + xAG,0.27,10
Shot-Creating Actions,3.08,23
Passes Attempted,57.77,92
Pass Completion %,88.2,99
Progressive Passes,5.82,80
Progressive Carries,1.39,8
Successful Take-Ons,1.00,34
Touches (Att Pen),2.04,7
Progressive Passes Rec,4.34,5
Tackles,1.13,40
Interceptions,0.74,86
Blocks,0.83,46
Clearances,0.74,78
Aerials won,0.52,52
Goals,0.04,40
Assists,0.13,76
Goals + Assists,0.17,63
Non-Penalty Goals,0.04,42
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.09,90
Red Cards,0.00,62
xG,0.14,85
Non-Penalty xG,0.14,87
xAG,0.13,79
npxG + xAG,0.27,86
Progressive Carries,1.39,63
Progressive Passes,5.82,70
Progressive Passes Rec,4.34,90
Goals,0.04,40
Shots Total,1.04,57
Shots on target,0.17,36
Shots on target %,16.7,20
Goals/Shot,0.04,38
Goals/Shot on target,0.25,58
Average Shot Distance,14.30,98
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.14,85
Non-Penalty xG,0.14,87
npxG/Sh,0.14,97
Goals - xG,-0.10,1
Non-Penalty Goals - npxG,-0.10,1
Passes Completed,50.95,83
Passes Attempted,57.77,79
Pass Completion %,88.2,92
Total Passing Distance,685.08,51
Progressive Passing Distance,164.45,30
Passes Completed (Short),30.75,97
Passes Attempted (Short),33.23,97
Pass Completion % (Short),92.5,91
Passes Completed (Medium),14.59,39
Passes Attempted (Medium),16.29,32
Pass Completion % (Medium),89.6,75
Passes Completed (Long),2.13,10
Passes Attempted (Long),3.26,6
Pass Completion % (Long),65.3,55
Assists,0.13,76
xAG,0.13,79
Expected Assists,0.08,55
Key Passes,1.56,82
Passes into Final Third,4.17,50
Passes into Penalty Area,0.35,19
Crosses into Penalty Area,0.00,7
Progressive Passes,5.82,70
Passes Attempted,57.77,79
Live-ball passes,54.60,80
Dead-ball passes,3.04,69
Passes from Free Kicks,1.13,45
Through Balls,0.09,46
Switches,0.00,1
Crosses,0.78,49
Throw-Ins taken,0.22,48
Corner Kicks,0.65,70
Inswinging Corner Kicks,0.35,73
Outswinging Corner Kicks,0.22,73
Straight Corner Kicks,0.00,42
Passes Completed,50.95,83
Passes Offside,0.13,54
Passes Blocked,0.52,83
Shot-Creating Actions,3.08,78
SCA (PassLive),2.56,89
SCA (PassDead),0.17,67
SCA (TO),0.13,82
SCA (Sh),0.13,67
SCA (Fld),0.09,58
SCA (Def),0.00,15
Goal-Creating Actions,0.26,68
GCA (PassLive),0.22,73
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.04,84
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,1.13,6
Tackles Won,0.70,11
Tackles (Def 3rd),0.35,4
Tackles (Mid 3rd),0.78,33
Tackles (Att 3rd),0.00,1
Dribblers Tackled,0.70,31
Dribbles Challenged,2.13,61
% of dribblers tackled,32.7,12
Challenges Lost,1.43,20
Blocks,0.83,19
Shots Blocked,0.13,20
Passes Blocked,0.70,34
Interceptions,0.74,16
Tkl+Int,1.87,7
Clearances,0.74,24
Errors,0.00,67
Touches,65.85,76
Touches (Def Pen),1.00,12
Touches (Def 3rd),9.64,25
Touches (Mid 3rd),40.31,79
Touches (Att 3rd),16.42,79
Touches (Att Pen),2.04,87
Touches (Live-Ball),65.85,76
Take-Ons Attempted,1.65,72
Successful Take-Ons,1.00,79
Successful Take-On %,60.5,73
Times Tackled During Take-On,0.61,64
Tackled During Take-On Percentage,36.8,60
Carries,38.40,80
Total Carrying Distance,158.72,59
Progressive Carrying Distance,80.53,68
Progressive Carries,1.39,63
Carries into Final Third,1.26,58
Carries into Penalty Area,0.04,20
Miscontrols,1.43,37
Dispossessed,1.30,9
Passes Received,48.87,85
Progressive Passes Rec,4.34,90
Yellow Cards,0.09,90
Red Cards,0.00,62
Second Yellow Card,0.00,56
Fouls Committed,0.87,84
Fouls Drawn,0.78,32
Offsides,0.09,18
Crosses,0.78,49
Interceptions,0.74,16
Tackles Won,0.70,11
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,5.86,36
Aerials won,0.52,21
Aerials lost,0.83,61
% of Aerials Won,38.7,22
Goals,0.04,3
Assists,0.13,33
Goals + Assists,0.17,7
Non-Penalty Goals,0.04,3
Penalty Kicks Made,0.00,32
Penalty Kicks Attempted,0.00,28
Yellow Cards,0.09,80
Red Cards,0.00,59
xG,0.14,15
Non-Penalty xG,0.14,21
xAG,0.13,19
npxG + xAG,0.27,10
Progressive Carries,1.39,8
Progressive Passes,5.82,80
Progressive Passes Rec,4.34,5
Goals,0.04,3
Shots Total,1.04,5
Shots on target,0.17,1
Shots on target %,16.7,1
Goals/Shot,0.04,12
Goals/Shot on target,0.25,43
Average Shot Distance,14.30,93
Shots from free kicks,0.00,19
Penalty Kicks Made,0.00,32
Penalty Kicks Attempted,0.00,28
xG,0.14,15
Non-Penalty xG,0.14,21
npxG/Sh,0.14,88
Goals - xG,-0.10,12
Non-Penalty Goals - npxG,-0.10,12
Passes Completed,50.95,95
Passes Attempted,57.77,92
Pass Completion %,88.2,99
Total Passing Distance,685.08,90
Progressive Passing Distance,164.45,78
Passes Completed (Short),30.75,98
Passes Attempted (Short),33.23,98
Pass Completion % (Short),92.5,99
Passes Completed (Medium),14.59,90
Passes Attempted (Medium),16.29,84
Pass Completion % (Medium),89.6,99
Passes Completed (Long),2.13,48
Passes Attempted (Long),3.26,36
Pass Completion % (Long),65.3,95
Assists,0.13,33
xAG,0.13,19
Expected Assists,0.08,5
Key Passes,1.56,43
Passes into Final Third,4.17,84
Passes into Penalty Area,0.35,1
Crosses into Penalty Area,0.00,2
Progressive Passes,5.82,80
Passes Attempted,57.77,92
Live-ball passes,54.60,95
Dead-ball passes,3.04,54
Passes from Free Kicks,1.13,67
Through Balls,0.09,20
Switches,0.00,2
Crosses,0.78,9
Throw-Ins taken,0.22,21
Corner Kicks,0.65,42
Inswinging Corner Kicks,0.35,47
Outswinging Corner Kicks,0.22,50
Straight Corner Kicks,0.00,38
Passes Completed,50.95,95
Passes Offside,0.13,65
Passes Blocked,0.52,98
Shot-Creating Actions,3.08,23
SCA (PassLive),2.56,47
SCA (PassDead),0.17,40
SCA (TO),0.13,26
SCA (Sh),0.13,20
SCA (Fld),0.09,14
SCA (Def),0.00,20
Goal-Creating Actions,0.26,20
GCA (PassLive),0.22,33
GCA (PassDead),0.00,28
GCA (TO),0.00,25
GCA (Sh),0.04,63
GCA (Fld),0.00,26
GCA (Def),0.00,46
Tackles,1.13,40
Tackles Won,0.70,46
Tackles (Def 3rd),0.35,35
Tackles (Mid 3rd),0.78,75
Tackles (Att 3rd),0.00,1
Dribblers Tackled,0.70,71
Dribbles Challenged,2.13,88
% of dribblers tackled,32.7,28
Challenges Lost,1.43,10
Blocks,0.83,46
Shots Blocked,0.13,74
Passes Blocked,0.70,41
Interceptions,0.74,86
Tkl+Int,1.87,54
Clearances,0.74,78
Errors,0.00,54
Touches,65.85,88
Touches (Def Pen),1.00,74
Touches (Def 3rd),9.64,99
Touches (Mid 3rd),40.31,97
Touches (Att 3rd),16.42,9
Touches (Att Pen),2.04,7
Touches (Live-Ball),65.85,88
Take-Ons Attempted,1.65,12
Successful Take-Ons,1.00,34
Successful Take-On %,60.5,95
Times Tackled During Take-On,0.61,7
Tackled During Take-On Percentage,36.8,90
Carries,38.40,84
Total Carrying Distance,158.72,29
Progressive Carrying Distance,80.53,38
Progressive Carries,1.39,8
Carries into Final Third,1.26,13
Carries into Penalty Area,0.04,1
Miscontrols,1.43,95
Dispossessed,1.30,56
Passes Received,48.87,91
Progressive Passes Rec,4.34,5
Yellow Cards,0.09,80
Red Cards,0.00,59
Second Yellow Card,0.00,53
Fouls Committed,0.87,68
Fouls Drawn,0.78,11
Offsides,0.09,84
Crosses,0.78,9
Interceptions,0.74,86
Tackles Won,0.70,46
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,5.86,88
Aerials won,0.52,52
Aerials lost,0.83,64
% of Aerials Won,38.7,62