Non-Penalty Goals,0.05,67
Non-Penalty xG,0.08,81
Shots Total,1.48,94
Assists,0.22,86
xAG,0.12,69
npxG + xAG,0.20,78
Shot-Creating Actions,2.82,82
Passes Attempted,86.74,99
Pass Completion %,83.5,85
Progressive Passes,7.31,97
Progressive Carries,3.67,93
Successful Take-Ons,1.86,98
Touches (Att Pen),2.85,93
Progressive Passes Rec,8.96,96
Tackles,2.27,66
Interceptions,1.37,81
Blocks,0.66,5
Clearances,1.01,6
Aerials won,1.78,92
Goals,0.05,67
Assists,0.22,86
Goals + Assists,0.27,86
Non-Penalty Goals,0.05,67
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.19,47
Red Cards,0.03,19
xG,0.08,79
Non-Penalty xG,0.08,81
xAG,0.12,69
npxG + xAG,0.20,78
Progressive Carries,3.67,93
Progressive Passes,7.31,97
Progressive Passes Rec,8.96,96
Goals,0.05,67
Shots Total,1.48,94
Shots on target,0.30,81
Shots on target %,20.4,31
Goals/Shot,0.04,46
Goals/Shot on target,0.18,47
Average Shot Distance,21.70,31
Shots from free kicks,0.00,39
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.08,79
Non-Penalty xG,0.08,81
npxG/Sh,0.05,31
Goals - xG,-0.02,29
Non-Penalty Goals - npxG,-0.02,28
Passes Completed,72.42,98
Passes Attempted,86.74,99
Pass Completion %,83.5,85
Total Passing Distance,1162.28,98
Progressive Passing Distance,288.90,79
Passes Completed (Short),40.34,99
Passes Attempted (Short),43.41,99
Pass Completion % (Short),92.9,95
Passes Completed (Medium),26.05,96
Passes Attempted (Medium),31.42,97
Pass Completion % (Medium),82.9,68
Passes Completed (Long),5.07,90
Passes Attempted (Long),8.44,79
Pass Completion % (Long),60.1,84
Assists,0.22,86
xAG,0.12,69
Expected Assists,0.16,81
Key Passes,1.01,61
Passes into Final Third,5.83,96
Passes into Penalty Area,2.14,97
Crosses into Penalty Area,0.52,60
Progressive Passes,7.31,97
Passes Attempted,86.74,99
Live-ball passes,78.09,98
Dead-ball passes,8.44,24
Passes from Free Kicks,1.48,81
Through Balls,0.27,98
Switches,1.12,98
Crosses,3.56,70
Throw-Ins taken,6.96,18
Corner Kicks,0.00,24
Inswinging Corner Kicks,0.00,33
Outswinging Corner Kicks,0.00,32
Straight Corner Kicks,0.00,48
Passes Completed,72.42,98
Passes Offside,0.22,37
Passes Blocked,1.37,35
Shot-Creating Actions,2.82,82
SCA (PassLive),2.25,87
SCA (PassDead),0.03,14
SCA (TO),0.14,83
SCA (Sh),0.27,96
SCA (Fld),0.05,46
SCA (Def),0.08,89
Goal-Creating Actions,0.52,96
GCA (PassLive),0.44,96
GCA (PassDead),0.03,69
GCA (TO),0.03,81
GCA (Sh),0.03,82
GCA (Fld),0.00,39
GCA (Def),0.00,47
Tackles,2.27,66
Tackles Won,1.53,80
Tackles (Def 3rd),1.10,52
Tackles (Mid 3rd),0.82,72
Tackles (Att 3rd),0.36,88
Dribblers Tackled,1.12,60
Dribbles Challenged,2.11,74
% of dribblers tackled,53.2,28
Challenges Lost,0.99,23
Blocks,0.66,5
Shots Blocked,0.08,6
Passes Blocked,0.58,15
Interceptions,1.37,81
Tkl+Int,3.64,79
Clearances,1.01,6
Errors,0.03,41
Touches,97.97,99
Touches (Def Pen),1.92,8
Touches (Def 3rd),17.83,44
Touches (Mid 3rd),48.01,98
Touches (Att 3rd),32.89,99
Touches (Att Pen),2.85,93
Touches (Live-Ball),97.97,99
Take-Ons Attempted,3.92,98
Successful Take-Ons,1.86,98
Successful Take-On %,47.6,64
Times Tackled During Take-On,1.73,95
Tackled During Take-On Percentage,44.1,57
Carries,61.19,99
Total Carrying Distance,303.20,99
Progressive Carrying Distance,158.80,97
Progressive Carries,3.67,93
Carries into Final Third,2.90,97
Carries into Penalty Area,1.10,97
Miscontrols,1.37,34
Dispossessed,0.82,23
Passes Received,71.16,99
Progressive Passes Rec,8.96,96
Yellow Cards,0.19,47
Red Cards,0.03,19
Second Yellow Card,0.00,54
Fouls Committed,0.93,65
Fouls Drawn,1.01,56
Offsides,0.27,5
Crosses,3.56,70
Interceptions,1.37,81
Tackles Won,1.53,80
Penalty Kicks Won,0.00,44
Penalty Kicks Conceded,0.05,11
Own Goals,0.00,55
Ball Recoveries,6.24,76
Aerials won,1.78,92
Aerials lost,0.88,50
% of Aerials Won,67.0,96