Non-Penalty Goals,0.00,13
Non-Penalty xG,0.01,5
Shots Total,0.57,16
Assists,0.00,11
xAG,0.00,1
npxG + xAG,0.03,1
Shot-Creating Actions,1.42,12
Passes Attempted,51.65,58
Pass Completion %,79.5,33
Progressive Passes,6.08,72
Progressive Carries,0.42,8
Successful Take-Ons,0.57,44
Touches (Att Pen),0.14,2
Progressive Passes Rec,0.57,8
Tackles,3.82,99
Interceptions,1.70,91
Blocks,2.12,99
Clearances,1.42,77
Aerials won,0.99,55
Goals,0.00,12
Assists,0.00,11
Goals + Assists,0.00,5
Non-Penalty Goals,0.00,13
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
Yellow Cards,0.28,28
Red Cards,0.00,58
xG,0.01,4
Non-Penalty xG,0.01,5
xAG,0.00,1
npxG + xAG,0.03,1
Progressive Carries,0.42,8
Progressive Passes,6.08,72
Progressive Passes Rec,0.57,8
Goals,0.00,12
Shots Total,0.57,16
Shots on target,0.14,23
Shots on target %,25.0,36
Goals/Shot,0.00,13
Goals/Shot on target,0.00,13
Average Shot Distance,25.30,14
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
xG,0.01,4
Non-Penalty xG,0.01,5
npxG/Sh,0.03,4
Goals - xG,-0.01,44
Non-Penalty Goals - npxG,-0.01,44
Passes Completed,41.04,52
Passes Attempted,51.65,58
Pass Completion %,79.5,33
Total Passing Distance,772.08,64
Progressive Passing Distance,242.12,70
Passes Completed (Short),16.56,32
Passes Attempted (Short),18.82,32
Pass Completion % (Short),88.0,46
Passes Completed (Medium),17.69,62
Passes Attempted (Medium),20.38,62
Pass Completion % (Medium),86.8,49
Passes Completed (Long),5.94,81
Passes Attempted (Long),9.91,87
Pass Completion % (Long),60.0,33
Assists,0.00,11
xAG,0.00,1
Expected Assists,0.03,7
Key Passes,0.28,4
Passes into Final Third,5.38,75
Passes into Penalty Area,0.71,52
Crosses into Penalty Area,0.14,65
Progressive Passes,6.08,72
Passes Attempted,51.65,58
Live-ball passes,48.25,55
Dead-ball passes,3.25,75
Passes from Free Kicks,2.55,87
Through Balls,0.00,5
Switches,0.28,35
Crosses,1.13,62
Throw-Ins taken,0.28,65
Corner Kicks,0.42,70
Inswinging Corner Kicks,0.42,79
Outswinging Corner Kicks,0.00,30
Straight Corner Kicks,0.00,46
Passes Completed,41.04,52
Passes Offside,0.14,67
Passes Blocked,0.71,71
Shot-Creating Actions,1.42,12
SCA (PassLive),0.99,7
SCA (PassDead),0.28,77
SCA (TO),0.00,15
SCA (Sh),0.14,71
SCA (Fld),0.00,8
SCA (Def),0.00,14
Goal-Creating Actions,0.14,28
GCA (PassLive),0.00,3
GCA (PassDead),0.14,96
GCA (TO),0.00,41
GCA (Sh),0.00,36
GCA (Fld),0.00,38
GCA (Def),0.00,43
Tackles,3.82,99
Tackles Won,1.56,81
Tackles (Def 3rd),1.70,99
Tackles (Mid 3rd),1.84,99
Tackles (Att 3rd),0.28,61
Dribblers Tackled,1.70,96
Dribbles Challenged,3.68,98
% of dribblers tackled,46.2,45
Challenges Lost,1.98,3
Blocks,2.12,99
Shots Blocked,0.42,84
Passes Blocked,1.70,98
Interceptions,1.70,91
Tkl+Int,5.52,99
Clearances,1.42,77
Errors,0.00,71
Touches,65.24,66
Touches (Def Pen),3.82,94
Touches (Def 3rd),21.65,96
Touches (Mid 3rd),36.23,59
Touches (Att 3rd),7.78,11
Touches (Att Pen),0.14,2
Touches (Live-Ball),65.24,66
Take-Ons Attempted,0.85,30
Successful Take-Ons,0.57,44
Successful Take-On %,66.7,90
Times Tackled During Take-On,0.28,23
Tackled During Take-On Percentage,33.3,70
Carries,29.58,31
Total Carrying Distance,109.95,13
Progressive Carrying Distance,38.77,6
Progressive Carries,0.42,8
Carries into Final Third,0.28,1
Carries into Penalty Area,0.00,6
Miscontrols,1.84,17
Dispossessed,0.28,97
Passes Received,37.36,45
Progressive Passes Rec,0.57,8
Yellow Cards,0.28,28
Red Cards,0.00,58
Second Yellow Card,0.00,55
Fouls Committed,1.84,19
Fouls Drawn,0.85,29
Offsides,0.00,79
Crosses,1.13,62
Interceptions,1.70,91
Tackles Won,1.56,81
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,54
Ball Recoveries,9.48,99
Aerials won,0.99,55
Aerials lost,1.56,12
% of Aerials Won,38.9,22