Non-Penalty Goals,0.37,99
Non-Penalty xG,0.23,97
Shots Total,2.89,99
Assists,0.59,99
xAG,0.49,99
npxG + xAG,0.72,99
Shot-Creating Actions,6.31,99
Passes Attempted,56.81,70
Pass Completion %,72.6,7
Progressive Passes,8.02,94
Progressive Carries,3.99,99
Successful Take-Ons,1.02,76
Touches (Att Pen),3.85,99
Progressive Passes Rec,8.02,99
Tackles,0.94,2
Interceptions,0.16,1
Blocks,0.88,17
Clearances,0.40,5
Aerials won,0.43,18
Non-Penalty Goals,0.37,77
Non-Penalty xG,0.23,57
Shots Total,2.89,80
Assists,0.59,99
xAG,0.49,99
npxG + xAG,0.72,97
Shot-Creating Actions,6.31,99
Passes Attempted,56.81,94
Pass Completion %,72.6,26
Progressive Passes,8.02,97
Progressive Carries,3.99,76
Successful Take-Ons,1.02,25
Touches (Att Pen),3.85,44
Progressive Passes Rec,8.02,56
Tackles,0.94,24
Interceptions,0.16,8
Blocks,0.88,42
Clearances,0.40,51
Aerials won,0.43,44
Goals,0.37,99
Assists,0.59,99
Goals + Assists,0.96,99
Non-Penalty Goals,0.37,99
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
Yellow Cards,0.08,90
Red Cards,0.00,58
xG,0.23,95
Non-Penalty xG,0.23,97
xAG,0.49,99
npxG + xAG,0.72,99
Progressive Carries,3.99,99
Progressive Passes,8.02,94
Progressive Passes Rec,8.02,99
Goals,0.37,99
Shots Total,2.89,99
Shots on target,1.07,99
Shots on target %,37.0,78
Goals/Shot,0.13,83
Goals/Shot on target,0.35,70
Average Shot Distance,21.60,45
Shots from free kicks,0.37,98
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
xG,0.23,95
Non-Penalty xG,0.23,97
npxG/Sh,0.08,63
Goals - xG,0.14,99
Non-Penalty Goals - npxG,0.14,99
Passes Completed,41.24,53
Passes Attempted,56.81,70
Pass Completion %,72.6,7
Total Passing Distance,758.81,62
Progressive Passing Distance,223.89,63
Passes Completed (Short),19.12,55
Passes Attempted (Short),22.47,58
Pass Completion % (Short),85.1,22
Passes Completed (Medium),15.83,50
Passes Attempted (Medium),21.00,66
Pass Completion % (Medium),75.4,5
Passes Completed (Long),5.54,78
Passes Attempted (Long),10.11,87
Pass Completion % (Long),54.8,18
Assists,0.59,99
xAG,0.49,99
Expected Assists,0.47,99
Key Passes,3.64,99
Passes into Final Third,4.95,67
Passes into Penalty Area,2.97,99
Crosses into Penalty Area,0.62,99
Progressive Passes,8.02,94
Passes Attempted,56.81,70
Live-ball passes,50.31,61
Dead-ball passes,6.10,91
Passes from Free Kicks,1.87,75
Through Balls,0.88,99
Switches,0.94,87
Crosses,7.78,99
Throw-Ins taken,0.94,93
Corner Kicks,3.21,94
Inswinging Corner Kicks,1.15,91
Outswinging Corner Kicks,1.15,92
Straight Corner Kicks,0.16,99
Passes Completed,41.24,53
Passes Offside,0.40,5
Passes Blocked,1.20,14
Shot-Creating Actions,6.31,99
SCA (PassLive),4.25,99
SCA (PassDead),1.26,94
SCA (TO),0.21,93
SCA (Sh),0.37,98
SCA (Fld),0.16,79
SCA (Def),0.05,56
Goal-Creating Actions,0.88,99
GCA (PassLive),0.72,99
GCA (PassDead),0.11,93
GCA (TO),0.00,41
GCA (Sh),0.03,73
GCA (Fld),0.03,76
GCA (Def),0.00,43
Tackles,0.94,2
Tackles Won,0.48,2
Tackles (Def 3rd),0.19,1
Tackles (Mid 3rd),0.45,4
Tackles (Att 3rd),0.29,65
Dribblers Tackled,0.48,8
Dribbles Challenged,1.31,11
% of dribblers tackled,36.7,16
Challenges Lost,0.83,68
Blocks,0.88,17
Shots Blocked,0.05,6
Passes Blocked,0.83,37
Interceptions,0.16,1
Tkl+Int,1.10,1
Clearances,0.40,5
Errors,0.00,71
Touches,65.77,68
Touches (Def Pen),0.56,1
Touches (Def 3rd),3.96,1
Touches (Mid 3rd),24.50,12
Touches (Att 3rd),38.03,99
Touches (Att Pen),3.85,99
Touches (Live-Ball),65.77,68
Take-Ons Attempted,1.93,75
Successful Take-Ons,1.02,76
Successful Take-On %,52.8,54
Times Tackled During Take-On,0.72,71
Tackled During Take-On Percentage,37.5,56
Carries,41.00,70
Total Carrying Distance,212.76,71
Progressive Carrying Distance,129.96,86
Progressive Carries,3.99,99
Carries into Final Third,3.00,97
Carries into Penalty Area,0.78,97
Miscontrols,1.52,31
Dispossessed,1.07,30
Passes Received,49.75,77
Progressive Passes Rec,8.02,99
Yellow Cards,0.08,90
Red Cards,0.00,58
Second Yellow Card,0.00,55
Fouls Committed,0.94,81
Fouls Drawn,0.94,36
Offsides,0.11,18
Crosses,7.78,99
Interceptions,0.16,1
Tackles Won,0.48,2
Penalty Kicks Won,0.03,86
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,54
Ball Recoveries,4.01,2
Aerials won,0.43,18
Aerials lost,0.64,78
% of Aerials Won,40.0,25
Goals,0.37,71
Assists,0.59,99
Goals + Assists,0.96,97
Non-Penalty Goals,0.37,77
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
Yellow Cards,0.08,75
Red Cards,0.00,56
xG,0.23,44
Non-Penalty xG,0.23,57
xAG,0.49,99
npxG + xAG,0.72,97
Progressive Carries,3.99,76
Progressive Passes,8.02,97
Progressive Passes Rec,8.02,56
Goals,0.37,71
Shots Total,2.89,80
Shots on target,1.07,77
Shots on target %,37.0,54
Goals/Shot,0.13,60
Goals/Shot on target,0.35,67
Average Shot Distance,21.60,11
Shots from free kicks,0.37,92
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
xG,0.23,44
Non-Penalty xG,0.23,57
npxG/Sh,0.08,24
Goals - xG,0.14,89
Non-Penalty Goals - npxG,0.14,87
Passes Completed,41.24,86
Passes Attempted,56.81,94
Pass Completion %,72.6,26
Total Passing Distance,758.81,94
Progressive Passing Distance,223.89,94
Passes Completed (Short),19.12,68
Passes Attempted (Short),22.47,72
Pass Completion % (Short),85.1,32
Passes Completed (Medium),15.83,96
Passes Attempted (Medium),21.00,99
Pass Completion % (Medium),75.4,26
Passes Completed (Long),5.54,98
Passes Attempted (Long),10.11,98
Pass Completion % (Long),54.8,53
Assists,0.59,99
xAG,0.49,99
Expected Assists,0.47,99
Key Passes,3.64,99
Passes into Final Third,4.95,95
Passes into Penalty Area,2.97,99
Crosses into Penalty Area,0.62,96
Progressive Passes,8.02,97
Passes Attempted,56.81,94
Live-ball passes,50.31,92
Dead-ball passes,6.10,90
Passes from Free Kicks,1.87,91
Through Balls,0.88,97
Switches,0.94,94
Crosses,7.78,98
Throw-Ins taken,0.94,88
Corner Kicks,3.21,90
Inswinging Corner Kicks,1.15,76
Outswinging Corner Kicks,1.15,86
Straight Corner Kicks,0.16,99
Passes Completed,41.24,86
Passes Offside,0.40,9
Passes Blocked,1.20,43
Shot-Creating Actions,6.31,99
SCA (PassLive),4.25,97
SCA (PassDead),1.26,94
SCA (TO),0.21,39
SCA (Sh),0.37,84
SCA (Fld),0.16,40
SCA (Def),0.05,63
Goal-Creating Actions,0.88,96
GCA (PassLive),0.72,98
GCA (PassDead),0.11,88
GCA (TO),0.00,22
GCA (Sh),0.03,37
GCA (Fld),0.03,45
GCA (Def),0.00,43
Tackles,0.94,24
Tackles Won,0.48,21
Tackles (Def 3rd),0.19,13
Tackles (Mid 3rd),0.45,40
Tackles (Att 3rd),0.29,55
Dribblers Tackled,0.48,48
Dribbles Challenged,1.31,56
% of dribblers tackled,36.7,40
Challenges Lost,0.83,39
Blocks,0.88,42
Shots Blocked,0.05,48
Passes Blocked,0.83,45
Interceptions,0.16,8
Tkl+Int,1.10,12
Clearances,0.40,51
Errors,0.00,59
Touches,65.77,92
Touches (Def Pen),0.56,46
Touches (Def 3rd),3.96,23
Touches (Mid 3rd),24.50,66
Touches (Att 3rd),38.03,97
Touches (Att Pen),3.85,44
Touches (Live-Ball),65.77,92
Take-Ons Attempted,1.93,15
Successful Take-Ons,1.02,25
Successful Take-On %,52.8,85
Times Tackled During Take-On,0.72,7
Tackled During Take-On Percentage,37.5,88
Carries,41.00,85
Total Carrying Distance,212.76,57
Progressive Carrying Distance,129.96,86
Progressive Carries,3.99,76
Carries into Final Third,3.00,90
Carries into Penalty Area,0.78,28
Miscontrols,1.52,92
Dispossessed,1.07,80
Passes Received,49.75,94
Progressive Passes Rec,8.02,56
Yellow Cards,0.08,75
Red Cards,0.00,56
Second Yellow Card,0.00,54
Fouls Committed,0.94,52
Fouls Drawn,0.94,16
Offsides,0.11,88
Crosses,7.78,98
Interceptions,0.16,8
Tackles Won,0.48,21
Penalty Kicks Won,0.03,55
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,4.01,29
Aerials won,0.43,44
Aerials lost,0.64,74
% of Aerials Won,40.0,71