PSxG-GA,0.20,92
Goals Against,1.92,9
Save Percentage,71.2,46
PSxG/SoT,0.30,83
Save% (Penalty Kicks),0.0,25
Clean Sheet Percentage,7.7,2
Touches,57.00,99
Launch %,40.4,69
Goal Kicks,9.15,99
Avg. Length of Goal Kicks,43.8,59
Crosses Stopped %,3.8,14
Def. Actions Outside Pen. Area,1.62,85
Avg. Distance of Def. Actions,20.5,97
Goals Against,1.92,9
Shots on Target Against,5.62,95
Saves,3.85,96
Save Percentage,71.2,46
Wins,0.08,2
Draws,0.31,76
Losses,0.62,91
Clean Sheets,0.08,2
Clean Sheet Percentage,7.7,2
Penalty Kicks Attempted,0.31,97
Penalty Kicks Allowed,0.31,1
Penalty Kicks Saved,0.00,24
Penalty Kicks Missed,0.00,39
Save% (Penalty Kicks),0.0,25
Goals Against,1.92,9
Penalty Kicks Allowed,0.31,1
Free Kick Goals Against,0.08,6
Corner Kick Goals Against,0.23,14
Own Goals Scored Against Goalkeeper,0.15,2
Post-Shot Expected Goals,1.97,1
PSxG/SoT,0.30,83
PSxG-GA,0.20,92
Passes Completed (Launched),10.54,99
Passes Attempted (Launched),22.92,98
Pass Completion Percentage (Launched),46.0,94
Passes Attempted,45.54,99
Throws Attempted,3.31,7
Launch %,40.4,69
Average Pass Length,35.2,64
Goal Kicks,9.15,99
Launch% (Goal Kicks),49.6,46
Avg. Length of Goal Kicks,43.8,59
Crosses Faced,12.00,27
Crosses Stopped,0.46,15
Crosses Stopped %,3.8,14
Def. Actions Outside Pen. Area,1.62,85
Avg. Distance of Def. Actions,20.5,97