Non-Penalty Goals,0.00,21
Non-Penalty xG,0.01,7
Shots Total,0.28,14
Assists,0.00,10
xAG,0.05,17
npxG + xAG,0.06,8
Shot-Creating Actions,1.69,24
Passes Attempted,49.14,32
Pass Completion %,80.8,73
Progressive Passes,1.41,1
Progressive Carries,2.07,46
Successful Take-Ons,0.47,36
Touches (Att Pen),0.28,1
Progressive Passes Rec,3.86,35
Tackles,2.64,86
Interceptions,0.28,1
Blocks,1.51,88
Clearances,1.79,42
Aerials won,1.51,85
Goals,0.00,21
Assists,0.00,10
Goals + Assists,0.00,5
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.09,83
Red Cards,0.00,60
xG,0.01,7
Non-Penalty xG,0.01,7
xAG,0.05,17
npxG + xAG,0.06,8
Progressive Carries,2.07,46
Progressive Passes,1.41,1
Progressive Passes Rec,3.86,35
Goals,0.00,21
Shots Total,0.28,14
Shots on target,0.09,28
Shots on target %,33.3,70
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,25.10,11
Shots from free kicks,0.00,39
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.01,7
Non-Penalty xG,0.01,7
npxG/Sh,0.02,2
Goals - xG,-0.01,49
Non-Penalty Goals - npxG,-0.01,48
Passes Completed,39.73,44
Passes Attempted,49.14,32
Pass Completion %,80.8,73
Total Passing Distance,648.08,42
Progressive Passing Distance,231.59,39
Passes Completed (Short),19.86,44
Passes Attempted (Short),21.84,39
Pass Completion % (Short),90.9,77
Passes Completed (Medium),17.23,68
Passes Attempted (Medium),20.52,59
Pass Completion % (Medium),83.9,74
Passes Completed (Long),2.45,31
Passes Attempted (Long),5.27,33
Pass Completion % (Long),46.4,35
Assists,0.00,10
xAG,0.05,17
Expected Assists,0.08,43
Key Passes,0.66,26
Passes into Final Third,1.22,2
Passes into Penalty Area,0.85,32
Crosses into Penalty Area,0.56,67
Progressive Passes,1.41,1
Passes Attempted,49.14,32
Live-ball passes,40.58,36
Dead-ball passes,8.38,24
Passes from Free Kicks,0.75,36
Through Balls,0.00,18
Switches,0.00,2
Crosses,2.45,44
Throw-Ins taken,7.63,32
Corner Kicks,0.00,24
Inswinging Corner Kicks,0.00,33
Outswinging Corner Kicks,0.00,32
Straight Corner Kicks,0.00,48
Passes Completed,39.73,44
Passes Offside,0.19,46
Passes Blocked,0.75,96
Shot-Creating Actions,1.69,24
SCA (PassLive),1.32,27
SCA (PassDead),0.09,33
SCA (TO),0.19,92
SCA (Sh),0.09,66
SCA (Fld),0.00,9
SCA (Def),0.00,25
Goal-Creating Actions,0.09,21
GCA (PassLive),0.09,35
GCA (PassDead),0.00,33
GCA (TO),0.00,40
GCA (Sh),0.00,40
GCA (Fld),0.00,39
GCA (Def),0.00,47
Tackles,2.64,86
Tackles Won,1.32,65
Tackles (Def 3rd),1.32,69
Tackles (Mid 3rd),1.04,93
Tackles (Att 3rd),0.28,72
Dribblers Tackled,1.79,96
Dribbles Challenged,2.92,95
% of dribblers tackled,61.3,56
Challenges Lost,1.13,13
Blocks,1.51,88
Shots Blocked,0.28,61
Passes Blocked,1.22,89
Interceptions,0.28,1
Tkl+Int,2.92,43
Clearances,1.79,42
Errors,0.00,71
Touches,59.87,34
Touches (Def Pen),1.98,8
Touches (Def 3rd),18.73,52
Touches (Mid 3rd),26.17,36
Touches (Att 3rd),15.82,35
Touches (Att Pen),0.28,1
Touches (Live-Ball),59.87,34
Take-Ons Attempted,1.69,62
Successful Take-Ons,0.47,36
Successful Take-On %,27.8,7
Times Tackled During Take-On,1.13,79
Tackled During Take-On Percentage,66.7,3
Carries,30.78,35
Total Carrying Distance,150.82,32
Progressive Carrying Distance,74.94,32
Progressive Carries,2.07,46
Carries into Final Third,1.60,52
Carries into Penalty Area,0.00,1
Miscontrols,1.60,16
Dispossessed,0.94,16
Passes Received,36.06,45
Progressive Passes Rec,3.86,35
Yellow Cards,0.09,83
Red Cards,0.00,60
Second Yellow Card,0.00,54
Fouls Committed,1.79,4
Fouls Drawn,0.47,17
Offsides,0.00,89
Crosses,2.45,44
Interceptions,0.28,1
Tackles Won,1.32,65
Penalty Kicks Won,0.00,44
Penalty Kicks Conceded,0.00,66
Own Goals,0.00,55
Ball Recoveries,3.86,1
Aerials won,1.51,85
Aerials lost,0.94,44
% of Aerials Won,61.5,87