Non-Penalty Goals,0.16,82
Non-Penalty xG,0.06,45
Shots Total,0.63,19
Assists,0.00,11
xAG,0.14,81
npxG + xAG,0.20,67
Shot-Creating Actions,2.67,65
Passes Attempted,67.11,89
Pass Completion %,86.4,80
Progressive Passes,5.17,52
Progressive Carries,1.25,51
Successful Take-Ons,0.31,17
Touches (Att Pen),0.94,40
Progressive Passes Rec,2.51,64
Tackles,1.72,25
Interceptions,0.63,14
Blocks,1.25,52
Clearances,1.10,56
Aerials won,2.51,95
Goals,0.16,79
Assists,0.00,11
Goals + Assists,0.16,52
Non-Penalty Goals,0.16,82
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
Yellow Cards,0.16,73
Red Cards,0.00,58
xG,0.06,41
Non-Penalty xG,0.06,45
xAG,0.14,81
npxG + xAG,0.20,67
Progressive Carries,1.25,51
Progressive Passes,5.17,52
Progressive Passes Rec,2.51,64
Goals,0.16,79
Shots Total,0.63,19
Shots on target,0.31,53
Shots on target %,50.0,98
Goals/Shot,0.25,98
Goals/Shot on target,0.50,88
Average Shot Distance,20.40,57
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
xG,0.06,41
Non-Penalty xG,0.06,45
npxG/Sh,0.10,79
Goals - xG,0.09,95
Non-Penalty Goals - npxG,0.09,95
Passes Completed,58.01,88
Passes Attempted,67.11,89
Pass Completion %,86.4,80
Total Passing Distance,948.14,84
Progressive Passing Distance,227.51,65
Passes Completed (Short),27.91,89
Passes Attempted (Short),30.26,88
Pass Completion % (Short),92.2,85
Passes Completed (Medium),25.87,93
Passes Attempted (Medium),28.22,92
Pass Completion % (Medium),91.7,88
Passes Completed (Long),2.98,35
Passes Attempted (Long),5.17,45
Pass Completion % (Long),57.6,25
Assists,0.00,11
xAG,0.14,81
Expected Assists,0.08,52
Key Passes,1.57,85
Passes into Final Third,6.12,84
Passes into Penalty Area,0.63,42
Crosses into Penalty Area,0.00,10
Progressive Passes,5.17,52
Passes Attempted,67.11,89
Live-ball passes,66.17,92
Dead-ball passes,0.78,16
Passes from Free Kicks,0.78,36
Through Balls,0.16,60
Switches,0.16,13
Crosses,0.16,9
Throw-Ins taken,0.00,5
Corner Kicks,0.00,24
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,30
Straight Corner Kicks,0.00,46
Passes Completed,58.01,88
Passes Offside,0.16,61
Passes Blocked,0.47,94
Shot-Creating Actions,2.67,65
SCA (PassLive),2.67,88
SCA (PassDead),0.00,21
SCA (TO),0.00,15
SCA (Sh),0.00,6
SCA (Fld),0.00,8
SCA (Def),0.00,14
Goal-Creating Actions,0.16,32
GCA (PassLive),0.16,47
GCA (PassDead),0.00,40
GCA (TO),0.00,41
GCA (Sh),0.00,36
GCA (Fld),0.00,38
GCA (Def),0.00,43
Tackles,1.72,25
Tackles Won,0.78,13
Tackles (Def 3rd),0.78,45
Tackles (Mid 3rd),0.78,27
Tackles (Att 3rd),0.16,23
Dribblers Tackled,0.78,37
Dribbles Challenged,1.41,16
% of dribblers tackled,55.6,78
Challenges Lost,0.63,87
Blocks,1.25,52
Shots Blocked,0.31,64
Passes Blocked,0.94,54
Interceptions,0.63,14
Tkl+Int,2.35,16
Clearances,1.10,56
Errors,0.00,71
Touches,74.48,83
Touches (Def Pen),1.72,33
Touches (Def 3rd),13.64,59
Touches (Mid 3rd),46.72,86
Touches (Att 3rd),14.27,63
Touches (Att Pen),0.94,40
Touches (Live-Ball),74.48,84
Take-Ons Attempted,0.31,2
Successful Take-Ons,0.31,17
Successful Take-On %,100.0,99
Times Tackled During Take-On,0.00,1
Tackled During Take-On Percentage,0.0,99
Carries,45.16,79
Total Carrying Distance,221.24,74
Progressive Carrying Distance,111.79,79
Progressive Carries,1.25,51
Carries into Final Third,1.72,75
Carries into Penalty Area,0.16,53
Miscontrols,0.94,77
Dispossessed,0.78,55
Passes Received,53.31,85
Progressive Passes Rec,2.51,64
Yellow Cards,0.16,73
Red Cards,0.00,58
Second Yellow Card,0.00,55
Fouls Committed,1.88,17
Fouls Drawn,0.63,13
Offsides,0.00,79
Crosses,0.16,9
Interceptions,0.63,14
Tackles Won,0.78,13
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,54
Ball Recoveries,6.74,62
Aerials won,2.51,95
Aerials lost,2.04,5
% of Aerials Won,55.2,69