PSxG-GA,-0.01,50
Goals Against,0.86,89
Save Percentage,74.6,70
PSxG/SoT,0.24,11
Save% (Penalty Kicks),33.3,73
Clean Sheet Percentage,45.2,95
Touches,39.24,67
Launch %,36.6,56
Goal Kicks,6.29,29
Avg. Length of Goal Kicks,47.7,75
Crosses Stopped %,3.0,6
Def. Actions Outside Pen. Area,1.05,44
Avg. Distance of Def. Actions,15.7,68
Goals Against,0.86,89
Shots on Target Against,3.19,11
Saves,2.33,18
Save Percentage,74.6,70
Wins,0.60,83
Draws,0.17,23
Losses,0.24,20
Clean Sheets,0.45,95
Clean Sheet Percentage,45.2,95
Penalty Kicks Attempted,0.07,19
Penalty Kicks Allowed,0.05,83
Penalty Kicks Saved,0.02,52
Penalty Kicks Missed,0.00,39
Save% (Penalty Kicks),33.3,73
Goals Against,0.86,89
Penalty Kicks Allowed,0.05,83
Free Kick Goals Against,0.02,45
Corner Kick Goals Against,0.10,81
Own Goals Scored Against Goalkeeper,0.02,65
Post-Shot Expected Goals,0.82,97
PSxG/SoT,0.24,11
PSxG-GA,-0.01,50
Passes Completed (Launched),6.45,83
Passes Attempted (Launched),14.93,67
Pass Completion Percentage (Launched),43.2,83
Passes Attempted,30.90,75
Throws Attempted,3.48,9
Launch %,36.6,56
Average Pass Length,34.6,60
Goal Kicks,6.29,29
Launch% (Goal Kicks),57.6,64
Avg. Length of Goal Kicks,47.7,75
Crosses Faced,12.67,38
Crosses Stopped,0.38,7
Crosses Stopped %,3.0,6
Def. Actions Outside Pen. Area,1.05,44
Avg. Distance of Def. Actions,15.7,68