Non-Penalty Goals,0.23,96
Non-Penalty xG,0.13,84
Shots Total,1.33,74
Assists,0.18,89
xAG,0.16,89
npxG + xAG,0.29,90
Shot-Creating Actions,2.43,57
Passes Attempted,34.78,11
Pass Completion %,77.9,28
Progressive Passes,3.30,11
Progressive Carries,1.92,83
Successful Take-Ons,1.42,94
Touches (Att Pen),3.57,98
Progressive Passes Rec,7.42,99
Tackles,2.93,90
Interceptions,0.60,9
Blocks,1.42,78
Clearances,0.64,17
Aerials won,1.42,83
Non-Penalty Goals,0.23,59
Non-Penalty xG,0.13,18
Shots Total,1.33,12
Assists,0.18,48
xAG,0.16,38
npxG + xAG,0.29,16
Shot-Creating Actions,2.43,12
Passes Attempted,34.78,45
Pass Completion %,77.9,79
Progressive Passes,3.30,42
Progressive Carries,1.92,20
Successful Take-Ons,1.42,53
Touches (Att Pen),3.57,55
Progressive Passes Rec,7.42,54
Tackles,2.93,99
Interceptions,0.60,70
Blocks,1.42,90
Clearances,0.64,66
Aerials won,1.42,88
Goals,0.23,95
Assists,0.18,89
Goals + Assists,0.41,94
Non-Penalty Goals,0.23,96
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.27,40
Red Cards,0.00,62
xG,0.13,82
Non-Penalty xG,0.13,84
xAG,0.16,89
npxG + xAG,0.29,90
Progressive Carries,1.92,83
Progressive Passes,3.30,11
Progressive Passes Rec,7.42,99
Goals,0.23,95
Shots Total,1.33,74
Shots on target,0.37,70
Shots on target %,27.6,54
Goals/Shot,0.17,94
Goals/Shot on target,0.63,94
Average Shot Distance,13.50,98
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.13,82
Non-Penalty xG,0.13,84
npxG/Sh,0.10,85
Goals - xG,0.10,97
Non-Penalty Goals - npxG,0.10,97
Passes Completed,27.08,12
Passes Attempted,34.78,11
Pass Completion %,77.9,28
Total Passing Distance,400.74,6
Progressive Passing Distance,92.61,4
Passes Completed (Short),15.67,38
Passes Attempted (Short),17.51,34
Pass Completion % (Short),89.5,64
Passes Completed (Medium),8.94,6
Passes Attempted (Medium),11.18,6
Pass Completion % (Medium),79.9,17
Passes Completed (Long),1.51,4
Passes Attempted (Long),2.52,3
Pass Completion % (Long),60.0,39
Assists,0.18,89
xAG,0.16,89
Expected Assists,0.17,89
Key Passes,1.42,78
Passes into Final Third,2.11,4
Passes into Penalty Area,1.05,82
Crosses into Penalty Area,0.55,97
Progressive Passes,3.30,11
Passes Attempted,34.78,11
Live-ball passes,34.23,14
Dead-ball passes,0.37,1
Passes from Free Kicks,0.23,7
Through Balls,0.05,24
Switches,0.23,23
Crosses,2.84,79
Throw-Ins taken,0.14,27
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,42
Passes Completed,27.08,12
Passes Offside,0.18,37
Passes Blocked,1.51,1
Shot-Creating Actions,2.43,57
SCA (PassLive),2.02,67
SCA (PassDead),0.00,16
SCA (TO),0.09,70
SCA (Sh),0.27,95
SCA (Fld),0.00,10
SCA (Def),0.05,51
Goal-Creating Actions,0.46,92
GCA (PassLive),0.27,85
GCA (PassDead),0.00,37
GCA (TO),0.05,94
GCA (Sh),0.09,98
GCA (Fld),0.00,40
GCA (Def),0.05,97
Tackles,2.93,90
Tackles Won,1.65,86
Tackles (Def 3rd),1.42,94
Tackles (Mid 3rd),0.82,37
Tackles (Att 3rd),0.69,99
Dribblers Tackled,1.28,83
Dribbles Challenged,2.61,80
% of dribblers tackled,49.1,61
Challenges Lost,1.33,29
Blocks,1.42,78
Shots Blocked,0.09,11
Passes Blocked,1.33,93
Interceptions,0.60,9
Tkl+Int,3.53,64
Clearances,0.64,17
Errors,0.00,67
Touches,49.45,20
Touches (Def Pen),1.10,14
Touches (Def 3rd),7.42,9
Touches (Mid 3rd),23.74,13
Touches (Att 3rd),19.25,87
Touches (Att Pen),3.57,98
Touches (Live-Ball),49.45,20
Take-Ons Attempted,3.35,98
Successful Take-Ons,1.42,94
Successful Take-On %,42.5,19
Times Tackled During Take-On,1.88,99
Tackled During Take-On Percentage,56.2,8
Carries,29.88,45
Total Carrying Distance,156.54,58
Progressive Carrying Distance,64.70,43
Progressive Carries,1.92,83
Carries into Final Third,1.74,84
Carries into Penalty Area,0.69,97
Miscontrols,3.16,1
Dispossessed,2.02,1
Passes Received,35.24,43
Progressive Passes Rec,7.42,99
Yellow Cards,0.27,40
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,1.37,44
Fouls Drawn,1.74,87
Offsides,0.14,8
Crosses,2.84,79
Interceptions,0.60,9
Tackles Won,1.65,86
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,5.22,16
Aerials won,1.42,83
Aerials lost,2.11,2
% of Aerials Won,40.3,26
Goals,0.23,52
Assists,0.18,48
Goals + Assists,0.41,49
Non-Penalty Goals,0.23,59
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.27,18
Red Cards,0.00,59
xG,0.13,15
Non-Penalty xG,0.13,18
xAG,0.16,38
npxG + xAG,0.29,16
Progressive Carries,1.92,20
Progressive Passes,3.30,42
Progressive Passes Rec,7.42,54
Goals,0.23,52
Shots Total,1.33,12
Shots on target,0.37,6
Shots on target %,27.6,13
Goals/Shot,0.17,86
Goals/Shot on target,0.63,99
Average Shot Distance,13.50,95
Shots from free kicks,0.00,20
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.13,15
Non-Penalty xG,0.13,18
npxG/Sh,0.10,57
Goals - xG,0.10,82
Non-Penalty Goals - npxG,0.10,83
Passes Completed,27.08,55
Passes Attempted,34.78,45
Pass Completion %,77.9,79
Total Passing Distance,400.74,47
Progressive Passing Distance,92.61,35
Passes Completed (Short),15.67,63
Passes Attempted (Short),17.51,57
Pass Completion % (Short),89.5,89
Passes Completed (Medium),8.94,53
Passes Attempted (Medium),11.18,47
Pass Completion % (Medium),79.9,72
Passes Completed (Long),1.51,34
Passes Attempted (Long),2.52,25
Pass Completion % (Long),60.0,85
Assists,0.18,48
xAG,0.16,38
Expected Assists,0.17,45
Key Passes,1.42,31
Passes into Final Third,2.11,47
Passes into Penalty Area,1.05,32
Crosses into Penalty Area,0.55,83
Progressive Passes,3.30,42
Passes Attempted,34.78,45
Live-ball passes,34.23,56
Dead-ball passes,0.37,4
Passes from Free Kicks,0.23,33
Through Balls,0.05,9
Switches,0.23,49
Crosses,2.84,45
Throw-Ins taken,0.14,13
Corner Kicks,0.00,9
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,18
Straight Corner Kicks,0.00,38
Passes Completed,27.08,55
Passes Offside,0.18,45
Passes Blocked,1.51,9
Shot-Creating Actions,2.43,12
SCA (PassLive),2.02,25
SCA (PassDead),0.00,11
SCA (TO),0.09,17
SCA (Sh),0.27,64
SCA (Fld),0.00,1
SCA (Def),0.05,60
Goal-Creating Actions,0.46,62
GCA (PassLive),0.27,53
GCA (PassDead),0.00,29
GCA (TO),0.05,73
GCA (Sh),0.09,90
GCA (Fld),0.00,27
GCA (Def),0.05,97
Tackles,2.93,99
Tackles Won,1.65,99
Tackles (Def 3rd),1.42,99
Tackles (Mid 3rd),0.82,80
Tackles (Att 3rd),0.69,99
Dribblers Tackled,1.28,99
Dribbles Challenged,2.61,96
% of dribblers tackled,49.1,82
Challenges Lost,1.33,13
Blocks,1.42,90
Shots Blocked,0.09,59
Passes Blocked,1.33,91
Interceptions,0.60,70
Tkl+Int,3.53,99
Clearances,0.64,66
Errors,0.00,54
Touches,49.45,57
Touches (Def Pen),1.10,78
Touches (Def 3rd),7.42,88
Touches (Mid 3rd),23.74,70
Touches (Att 3rd),19.25,27
Touches (Att Pen),3.57,55
Touches (Live-Ball),49.45,58
Take-Ons Attempted,3.35,59
Successful Take-Ons,1.42,53
Successful Take-On %,42.5,37
Times Tackled During Take-On,1.88,73
Tackled During Take-On Percentage,56.2,13
Carries,29.88,49
Total Carrying Distance,156.54,27
Progressive Carrying Distance,64.70,17
Progressive Carries,1.92,20
Carries into Final Third,1.74,33
Carries into Penalty Area,0.69,44
Miscontrols,3.16,12
Dispossessed,2.02,14
Passes Received,35.24,56
Progressive Passes Rec,7.42,54
Yellow Cards,0.27,18
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,1.37,23
Fouls Drawn,1.74,56
Offsides,0.14,73
Crosses,2.84,45
Interceptions,0.60,70
Tackles Won,1.65,99
Penalty Kicks Won,0.00,33
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,5.22,70
Aerials won,1.42,88
Aerials lost,2.11,9
% of Aerials Won,40.3,67