Non-Penalty Goals,0.27,23
Non-Penalty xG,0.12,1
Shots Total,1.89,10
Assists,0.00,5
xAG,0.05,10
npxG + xAG,0.18,1
Shot-Creating Actions,1.75,11
Passes Attempted,17.95,23
Pass Completion %,78.2,90
Progressive Passes,1.48,36
Progressive Carries,2.02,87
Successful Take-Ons,0.40,20
Touches (Att Pen),3.91,26
Progressive Passes Rec,7.02,83
Tackles,0.67,58
Interceptions,0.13,33
Blocks,0.54,42
Clearances,0.13,5
Aerials won,1.35,27
Goals,0.40,46
Assists,0.00,5
Goals + Assists,0.40,25
Non-Penalty Goals,0.27,23
Penalty Kicks Made,0.13,92
Penalty Kicks Attempted,0.13,86
Yellow Cards,0.54,1
Red Cards,0.00,58
xG,0.23,3
Non-Penalty xG,0.12,1
xAG,0.05,10
npxG + xAG,0.18,1
Progressive Carries,2.02,87
Progressive Passes,1.48,36
Progressive Passes Rec,7.02,83
Goals,0.40,46
Shots Total,1.89,10
Shots on target,0.40,1
Shots on target %,21.4,1
Goals/Shot,0.14,52
Goals/Shot on target,0.67,99
Average Shot Distance,17.30,14
Shots from free kicks,0.27,96
Penalty Kicks Made,0.13,92
Penalty Kicks Attempted,0.13,86
xG,0.23,3
Non-Penalty xG,0.12,1
npxG/Sh,0.06,1
Goals - xG,0.18,92
Non-Penalty Goals - npxG,0.15,90
Passes Completed,14.03,49
Passes Attempted,17.95,23
Pass Completion %,78.2,90
Total Passing Distance,209.69,58
Progressive Passing Distance,40.75,52
Passes Completed (Short),7.83,42
Passes Attempted (Short),9.45,25
Pass Completion % (Short),82.9,84
Passes Completed (Medium),4.32,57
Passes Attempted (Medium),5.53,41
Pass Completion % (Medium),78.0,79
Passes Completed (Long),0.81,60
Passes Attempted (Long),0.94,29
Pass Completion % (Long),85.7,99
Assists,0.00,5
xAG,0.05,10
Expected Assists,0.04,11
Key Passes,0.81,28
Passes into Final Third,0.94,42
Passes into Penalty Area,0.81,82
Crosses into Penalty Area,0.27,96
Progressive Passes,1.48,36
Passes Attempted,17.95,23
Live-ball passes,16.46,23
Dead-ball passes,1.48,56
Passes from Free Kicks,0.27,95
Through Balls,0.00,10
Switches,0.13,64
Crosses,1.48,92
Throw-Ins taken,0.00,8
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,46
Straight Corner Kicks,0.00,49
Passes Completed,14.03,49
Passes Offside,0.00,94
Passes Blocked,0.40,86
Shot-Creating Actions,1.75,11
SCA (PassLive),1.21,18
SCA (PassDead),0.13,96
SCA (TO),0.00,3
SCA (Sh),0.13,12
SCA (Fld),0.27,65
SCA (Def),0.00,23
Goal-Creating Actions,0.27,48
GCA (PassLive),0.13,37
GCA (PassDead),0.00,48
GCA (TO),0.00,27
GCA (Sh),0.00,18
GCA (Fld),0.13,95
GCA (Def),0.00,47
Tackles,0.67,58
Tackles Won,0.67,89
Tackles (Def 3rd),0.13,57
Tackles (Mid 3rd),0.13,18
Tackles (Att 3rd),0.40,94
Dribblers Tackled,0.13,32
Dribbles Challenged,0.67,55
% of dribblers tackled,20.0,19
Challenges Lost,0.54,32
Blocks,0.54,42
Shots Blocked,0.13,77
Passes Blocked,0.40,41
Interceptions,0.13,33
Tkl+Int,0.81,50
Clearances,0.13,5
Errors,0.00,51
Touches,28.34,25
Touches (Def Pen),0.27,8
Touches (Def 3rd),1.75,21
Touches (Mid 3rd),11.60,23
Touches (Att 3rd),15.52,46
Touches (Att Pen),3.91,26
Touches (Live-Ball),28.20,23
Take-Ons Attempted,1.35,35
Successful Take-Ons,0.40,20
Successful Take-On %,30.0,15
Times Tackled During Take-On,0.67,36
Tackled During Take-On Percentage,50.0,53
Carries,16.87,47
Total Carrying Distance,93.10,58
Progressive Carrying Distance,43.99,76
Progressive Carries,2.02,87
Carries into Final Third,0.81,48
Carries into Penalty Area,0.54,43
Miscontrols,2.97,33
Dispossessed,0.67,90
Passes Received,19.43,18
Progressive Passes Rec,7.02,83
Yellow Cards,0.54,1
Red Cards,0.00,58
Second Yellow Card,0.00,53
Fouls Committed,1.08,64
Fouls Drawn,1.35,53
Offsides,1.21,3
Crosses,1.48,92
Interceptions,0.13,33
Tackles Won,0.67,89
Penalty Kicks Won,0.13,96
Penalty Kicks Conceded,0.00,51
Own Goals,0.00,51
Ball Recoveries,2.43,53
Aerials won,1.35,27
Aerials lost,2.16,74
% of Aerials Won,38.5,37